tconst	averageRating	numVotes
tt4274656	4.4	221
tt4274788	2.5	191
tt4276148	7.8	5
tt4277692	7.8	6
tt4278760	4.6	7
tt4279116	3.8	762
tt4279118	7.8	6
tt4280540	3.3	156
tt4281724	6.0	1969
tt4282872	4.9	3454
tt4287080	7.4	32
tt4287320	5.3	62882
tt4287778	4.5	160
tt4288674	4.6	467
tt4289062	5.8	1280
tt4290974	2.8	830
tt4294586	8.2	25
tt4294968	5.4	57
tt4294970	8.0	54
tt4299300	7.1	2504
tt4300776	6.1	158
tt4301112	7.6	16
tt4307132	8.2	39
tt4308652	5.4	39
tt4310202	5.2	20
tt4310428	7.0	19
tt4312690	5.2	25
tt4313538	8.6	14
tt4313982	6.9	501
tt4314152	7.4	31
tt4314716	3.3	1037
tt4316472	7.8	15
tt4318548	7.9	23
tt4319430	1.8	66
tt4320180	8.7	7
tt4323556	7.3	41
tt4323568	5.1	131
tt4328934	7.6	893
tt4329396	9.4	73
tt4329806	3.3	708
tt4331488	8.9	9
tt4333132	4.2	14
tt4334642	4.6	310
tt4337500	8.6	17
tt4338138	6.3	47
tt4338252	7.8	17
tt4341390	7.0	42
tt4344624	7.4	10
tt4346472	6.9	7
tt4348012	6.3	9191
tt4351548	7.0	3845
tt4351682	7.6	8
tt4356480	6.2	2236
tt4357714	4.6	110
tt4359764	7.5	29
tt4360094	9.0	1303
tt4360924	6.8	36
tt4362596	9.6	7
tt4363990	3.3	236
tt4365566	4.7	2775
tt4367350	4.9	127
tt4368870	8.5	40
tt4371276	5.8	8
tt4372084	4.4	19
tt4372240	7.3	1614
tt4372736	8.4	68
tt4379420	4.2	12
tt4382376	4.6	265
tt4385852	8.8	11
tt4386918	3.4	5
tt4387532	5.7	23
tt4388944	9.1	7
tt4393036	7.7	9
tt4394034	4.1	138
tt4399952	5.1	2996
tt4400994	6.2	2626
tt4401006	5.2	1311
tt4411466	6.9	65
tt4411596	6.0	12978
tt4415410	6.2	102
tt4417868	5.9	19
tt4418398	4.9	640
tt4419196	5.3	1330
tt4420962	6.6	13
tt4423778	6.1	124
tt4423984	4.1	282
tt4424722	3.6	594
tt4425200	7.5	233862
tt4425518	8.4	28
tt4425960	6.5	15
tt4426058	8.2	18
tt4431574	5.4	8
tt4431632	5.9	131
tt4432006	6.1	474
tt4433360	8.4	85
tt4435082	6.0	855
tt4437544	6.3	24
tt4437830	7.6	21
tt4438098	6.7	34
tt4440776	7.7	36
tt4441348	7.6	9
tt4444732	6.6	5
tt4444798	4.1	207
tt4446034	1.6	11
tt4447090	4.4	226
tt4449516	6.4	13
tt4450562	5.1	50
tt4451006	3.6	187
