tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt2090465	movie	Black Butterfly	Black Butterfly	0	2017	\N	93	Thriller
tt2091256	movie	Captain Underpants: The First Epic Movie	Captain Underpants: The First Epic Movie	0	2017	\N	89	Action,Animation,Comedy
tt2095670	movie	Johnny Christ	Johnny Christ	0	2017	\N	99	Drama
tt2095768	movie	This Is Congo	This Is Congo	0	2017	\N	93	Documentary,History,War
tt2101304	movie	A People of Silence	A People of Silence	0	2017	\N	85	Crime,Drama,Family
tt2103184	movie	Nowhere, U.S.A.	Nowhere, U.S.A.	0	2017	\N	\N	Documentary
tt2112982	movie	Kessler's Lab	Kessler's Lab	0	2017	\N	87	Drama,Sci-Fi,Thriller
tt2114504	movie	Woody Woodpecker	Woody Woodpecker	0	2017	\N	91	Animation,Comedy,Family
tt2117827	movie	Birth of a Pipe Organ	Birth of a Pipe Organ	0	2017	\N	29	Biography,Documentary,Music
tt2118744	movie	The Porchlight Sessions	The Porchlight Sessions	0	2017	\N	61	Biography,Documentary,Drama
tt2128701	movie	We the People 2.0	We the People 2.0	0	2017	\N	90	Documentary
tt2132304	movie	David's Dinosaur	David's Dinosaur	0	2017	\N	100	Family
tt2139573	movie	Alicia's Dream	Alicia's Dream	0	2017	\N	77	Drama,Horror,Mystery
tt2139847	movie	Embargo	Embargo	0	2017	\N	85	Biography,Crime,Documentary
tt2139869	movie	Family Games	Family Games	0	2017	\N	72	Drama
tt2140507	movie	The Current War	The Current War	0	2017	\N	105	Biography,Drama,History
tt2142987	movie	Can't Take It Back	Can't Take It Back	0	2017	\N	88	Horror,Sci-Fi,Thriller
tt2150068	movie	Silhouettes	Silhouettes	0	2017	\N	\N	Drama
tt2155383	movie	Space Rock	Space Rock	0	2017	\N	\N	Documentary
tt2164454	movie	Orpheus Rising	Orpheus Rising	0	2017	\N	100	Drama,Romance,Thriller
tt2179155	movie	Alguém Como Eu	Alguém Como Eu	0	2017	\N	87	Comedy
tt2180351	movie	Eating Animals	Eating Animals	0	2017	\N	94	Documentary
tt2182065	movie	Police State	Police State	0	2017	\N	73	Adventure,Sci-Fi,Thriller
tt2184233	movie	1 Mile to You	1 Mile to You	0	2017	\N	104	Drama,Romance,Sport
tt2193247	movie	Fauves	Fauves	0	2017	\N	94	Drama,Fantasy,Thriller
tt2196053	movie	Something Like Summer	Something Like Summer	0	2017	\N	115	Drama,Musical,Romance
tt2205212	movie	Ned Venture	Ned Venture	0	2017	\N	90	Comedy
tt2213322	movie	Concealed	Concealed	0	2017	\N	86	Action,Drama,Thriller
tt2219798	movie	In Search of Liberty	In Search of Liberty	0	2017	\N	95	Adventure,Comedy,Drama
tt2222176	movie	In Whose Image? Black Fatherhood in America	In Whose Image? Black Fatherhood in America	0	2017	\N	\N	Documentary
tt2222712	movie	Nothing Man	Nothing Man	0	2017	\N	79	Action,Thriller
tt2222718	movie	The Diana Clone	The Diana Clone	0	2017	\N	94	Comedy,Thriller
tt2226597	movie	The Mountain Between Us	The Mountain Between Us	0	2017	\N	112	Action,Adventure,Drama
tt2231210	movie	The Activists: War, Peace, and Politics in the Streets	The Activists: War, Peace, and Politics in the Streets	0	2017	\N	60	Documentary,History,News
tt2238758	movie	Kaufman's Game	Kaufman's Game	0	2017	\N	\N	Crime,Thriller
tt2239822	movie	Valerian and the City of a Thousand Planets	Valerian and the City of a Thousand Planets	0	2017	\N	137	Action,Adventure,Fantasy
tt2244102	movie	Bumpin Uglies	Bumpin Uglies	0	2017	\N	\N	Comedy
